12.09.;Datenerhebung Louisa;;;
from;to;relationship;year;
thshre100;frda200;1;1994;
thshre100;thne300;1;1994;
frda200;thne300;2;1994;
thgo100;frfoco200;1;1972;
thgo100;niro300;1;1972;
frfoco200;niro300;2;1972;
thdakn100;chno200;1;2008;
thdakn100;janeho300;1;2008;
thdakn100;hazi300;1;2008;
chno200;janeho300;2;2008;
chno200;hazi300;2;2008;
thgopaii100;frfoco200;1;1974;
thgopaii100;niro300;1;1974;
frfoco200;niro300;2;1974;
12anme100;silu200;1;1957;
12anme100;keho300;1;1957;
silu200;keho300;2;1957;
thloofthrith100;peja200;1;2003;
thloofthrith100;hosho300;1;2003;
peja200;hosho300;2;2003;
scsli100;stsp200;1;1993;
scsli100;jowi300;1;1993;
stsp200;jowi300;2;1993;
thloofthrith2100;peja200;1;2001;
thloofthrith2100;hosho300;1;2001;
peja200;hosho300;2;2001;
pufi100;quta200;1;1994;
thgothbaanth100;sele200;1;1966;
thgothbaanth100;enmo300;1;1966;
sele200;enmo300;2;1966;
thloofthrith3100;peja200;1;2002;
thloofthrith3100;hosho300;1;2002;
peja200;hosho300;2;2002;
fogu100;roze200;1;1994;
fogu100;alsi300;1;1994;
roze200;alsi300;2;1994;
ficl100;dafi200;1;1999;
ficl100;joki300;1;1999;
ficl100;misi300;1;1999;
dafi200;joki300;2;1999;
dafi200;misi300;2;1999;
in100;chno200;1;2010;
in100;hazi300;1;2010;
chno200;hazi300;2;2010;
stwaepvthems100;ivke200;1;1980;
stwaepvthems100;jowi300;1;1980;
ivke200;jowi300;2;1980;
thma100;lawach200;1;1999;
thma100;liwach200;1;1999;
thma100;dondav300;1;1999;
lawach200;dondav300;2;1999;
liwach200;dondav300;2;1999;
in2100;chno200;1;2014;
in2100;hazi300;1;2014;
chno200;hazi300;2;2014;
go100;masco200;1;1990;
onflovthcusn100;Milfor200;1;1975;
onflovthcusn100;Jjani300;1;1975;
Milfor200;Jjani300;2;1975;
se100;dafi200;1;1995;
se100;hosho300;1;1995;
dafi200;hosho300;2;1995;
itsawoli100;frca200;1;1946;
itsawoli100;diti300;1;1946;
frca200;diti300;2;1946;
thsiofthla100;jode200;1;1991;
thsiofthla100;hosho300;1;1991;
jode200;hosho300;2;1991;
saprry100;stsp200;1;1998;
saprry100;jowi300;1;1998;
stsp200;jowi300;2;1998;
sesa100;akku200;1;1954;
sesa100;fuha300;1;1954;
akku200;fuha300;2;1954;
thgrmi100;frda200;1;1999;
thgrmi100;thne300;1;1999;
frda200;thne300;2;1999;
ciofgo100;feme200;1;2002;
ciofgo100;kalu200;1;2002;
ciofgo100;anpi300;1;2002;
feme200;anpi300;2;2002;
kalu200;anpi300;2;2002;
liisbe100;robe200;1;1997;
liisbe100;nipi300;1;1997;
robe200;nipi300;2;1997;
te2juda100;jaca200;1;1991;
te2juda100;brfi300;1;1991;
jaca200;brfi300;2;1991;
batothfu100;roze200;1;1985;
batothfu100;alsi300;1;1985;
roze200;alsi300;2;1985;
stwaepivaneh100;gelu200;1;1977;
stwaepivaneh100;jowi300;1;1977;
gelu200;jowi300;2;1977;
kibithwhblaf100;rz300;1;2004;
kibithwhblaf100;quta200;1;2004;
quta200;rz300;2;2004;
spaw100;hami200;1;2001;
spaw100;johi300;1;2001;
hami200;johi300;2;2001;
gl100;risc200;1;2000;
gl100;lige300;1;2000;
risc200;lige300;2;2000;
gl100;hazi300;1;2000;
risc200;hazi300;2;2000;
thpi100;ropo200;1;2002;
thpi100;woki300;1;2002;
ropo200;woki300;2;2002;
pa100;bojoho200;1;2019;
pa100;jujail300;1;2019;
bojoho200;jujail300;2;2019;
grofthfi100;ista200;1;1988;
grofthfi100;mima300;1;1988;
ista200;mima300;2;1988;
ps100;alhi200;1;1960;
ps100;behe300;1;1960;
alhi200;behe300;2;1960;
ha100;mako200;1;1962;
ha100;truta300;1;1962;
mako200;truta300;2;1962;
thliki100;roal200;1;1994;
thliki100;romi200;1;1994;
thliki100;hazi300;1;1994;
roal200;hazi300;2;1994;
romi200;hazi300;2;1994;
thde100;masco200;1;2006;
thde100;hosho300;1;2006;
masco200;hosho300;2;2006;
wh100;dach200;1;2014;
wh100;juhu300;1;2014;
dach200;juhu300;2;2014;
thpr100;daju300;1;2006;
thpr100;chno200;1;2006;
chno200;daju300;2;2006;
amhix100;toka200;1;1998;
amhix100;andu300;1;1998;
toka200;andu300;2;1998;
lon100;lube200;1;1994;
lon100;erse300;1;1994;
lube200;erse300;2;1994;
spmaacthspve100;jodosa200;1;2023;
spmaacthspve100;kepo200;1;2023;
spmaacthspve100;jukth200;1;2023;
spmaacthspve100;dape300;1;2023;
jodosa200;dape300;2;2023;
kepo200;dape300;2;2023;
jukth200;dape300;2;2023;
cipa100;gito200;1;1988;
cipa100;enmo300;1;1988;
gito200;enmo300;2;1988;
ca100;micu200;1;1942;
ca100;mast300;1;1942;
micu200;mast300;2;1942;
thin100;olna200;1;2011;
thin100;erto200;1;2011;
thin100;luei300;1;2011;
olna200;luei300;2;2011;
erto200;luei300;2;2011;
thussu100;brsi200;1;1995;
thussu100;joot300;1;1995;
brsi200;joot300;2;1995;
djun100;quta200;1;2012;
al100;jego300;1;1979;
al100;risc200;1;1979;
risc200;jego300;2;1979;
rewi100;alhi200;1;1954;
rewi100;frwa300;1;1954;
alhi200;frwa300;2;1954;
moti100;chch200;1;1936;
onupatiinthw100;sele200;1;1968;
onupatiinthw100;enmo300;1;1968;
sele200;enmo300;2;1968;
cili100;chch200;1;1931;
wae100;anst200;1;2008;
wae100;thne300;1;2008;
anst200;thne300;2;2008;
apno100;caco300;1;1979;
apno100;frfoco200;1;1979;
frfoco200;caco300;2;1979;
me100;chno200;1;2000;
me100;daju300;1;2000;
chno200;daju300;2;2000;
avinwa100;ant200;1;2018;
avinwa100;joe200;1;2018;
avinwa100;alsi300;1;2018;
ant200;alsi300;2;2018;
joe200;alsi300;2;2018;
dupatw100;devi200;1;2024;
dupatw100;hazi300;1;2024;
devi200;hazi300;2;2024;
raofthloar100;stsp200;1;1981;
raofthloar100;jowi300;1;1981;
stsp200;jowi300;2;1981;
thod100;lugo300;1;2026;
thod100;chno200;1;2026;
